lr-Adadelta,step,train_loss,train/struct_loss,epoch,val_loss,val/struct_loss,val_ExpRate
1.0,0,,,,,,
,0,5.1298828125,0.6287078857421875,0,,,
1.0,1,,,,,,
,1,,,1,1.6924667358398438,0.2699432373046875,0.0
,1,1.644775390625,0.59454345703125,1,,,
1.0,2,,,,,,
,2,1.8089447021484375,0.3675384521484375,2,,,
1.0,3,,,,,,
,3,,,3,2.079120635986328,0.2178802490234375,0.0
,3,4.859745025634766,0.673004150390625,3,,,
1.0,4,,,,,,
,4,2.110950469970703,0.3744659423828125,4,,,
1.0,5,,,,,,
,5,,,5,2.193572998046875,0.15790176391601562,0.0
,5,2.190460205078125,0.6083984375,5,,,
1.0,6,,,,,,
,6,2.2005081176757812,0.24845123291015625,6,,,
1.0,7,,,,,,
,7,,,7,1.5173568725585938,0.0010357201099395752,0.75
,7,1.9807815551757812,0.20392227172851562,7,,,
1.0,8,,,,,,
,8,1.5626983642578125,0.008906558156013489,8,,,
1.0,9,,,,,,
,9,,,9,1.7895431518554688,0.09877562522888184,0.75
,9,1.7797698974609375,0.01648542284965515,9,,,
1.0,10,,,,,,
,10,1.7812576293945312,0.23242664337158203,10,,,
1.0,11,,,,,,
,11,,,11,1.0443611145019531,8.597970008850098e-06,0.75
,11,1.3305549621582031,0.0012191832065582275,11,,,
1.0,12,,,,,,
,12,0.9970932006835938,0.00026700645685195923,12,,,
1.0,13,,,,,,
,13,,,13,0.8158073425292969,6.087124347686768e-06,0.75
,13,0.8929595947265625,0.00014435499906539917,13,,,
1.0,14,,,,,,
,14,0.8534736633300781,0.00011545419692993164,14,,,
1.0,15,,,,,,
,15,,,15,0.768218994140625,4.284083843231201e-06,0.75
,15,0.8267440795898438,0.00015182048082351685,15,,,
1.0,16,,,,,,
,16,0.8069267272949219,8.668005466461182e-05,16,,,
1.0,17,,,,,,
,17,,,17,0.7255172729492188,4.2244791984558105e-06,0.75
,17,0.7703628540039062,0.00010666996240615845,17,,,
1.0,18,,,,,,
,18,0.7700576782226562,9.620934724807739e-05,18,,,
1.0,19,,,,,,
,19,,,19,0.7566566467285156,4.403293132781982e-06,0.75
,19,0.7778873443603516,8.451193571090698e-05,19,,,
1.0,20,,,,,,
,20,0.7103004455566406,9.28044319152832e-05,20,,,
1.0,21,,,,,,
,21,,,21,0.7230148315429688,4.395842552185059e-06,0.75
,21,0.7889423370361328,0.00013034045696258545,21,,,
1.0,22,,,,,,
,22,0.7395858764648438,8.846074342727661e-05,22,,,
1.0,23,,,,,,
,23,,,23,0.7049636840820312,4.634261131286621e-06,0.75
,23,0.7363471984863281,0.00010129064321517944,23,,,
1.0,24,,,,,,
,24,0.7424659729003906,0.00012128055095672607,24,,,
1.0,25,,,,,,
,25,,,25,0.872589111328125,5.37186861038208e-06,0.75
,25,0.8623104095458984,0.00028709322214126587,25,,,
1.0,26,,,,,,
,26,0.8428726196289062,0.00021419674158096313,26,,,
