lr-Adadelta,step,train_loss,train/struct_loss,epoch,val_loss,val/struct_loss,val_ExpRate
,26,0.0472254753112793,8.952617645263672e-05,26,,,
1.0,27,,,,,,
,27,,,27,0.8875586986541748,7.107853889465332e-06,0.75
,27,0.04618477821350098,0.00013682246208190918,27,,,
1.0,28,,,,,,
,28,0.031469106674194336,0.00010421872138977051,28,,,
1.0,29,,,,,,
,29,,,29,0.857874870300293,6.332993507385254e-06,0.75
,29,0.03884124755859375,0.0002499297261238098,29,,,
1.0,30,,,,,,
,30,0.027658700942993164,0.00013277679681777954,30,,,
1.0,31,,,,,,
,31,,,31,0.9358261823654175,7.4803829193115234e-06,0.75
,31,0.03427243232727051,0.00011204928159713745,31,,,
1.0,32,,,,,,
,32,0.15263867378234863,7.889419794082642e-05,32,,,
1.0,33,,,,,,
,33,,,33,0.2080327272415161,1.901388168334961e-05,0.75
,33,0.4802980422973633,8.309632539749146e-05,33,,,
1.0,34,,,,,,
,34,0.052459716796875,0.0007129311561584473,34,,,
1.0,35,,,,,,
,35,,,35,0.7581096887588501,7.569789886474609e-06,0.75
,35,0.03447294235229492,0.00012109428644180298,35,,,
1.0,36,,,,,,
,36,0.030658483505249023,0.00013571977615356445,36,,,
1.0,37,,,,,,
,37,,,37,0.8527721166610718,7.450580596923828e-06,0.75
,37,0.03428816795349121,0.000164128839969635,37,,,
1.0,38,,,,,,
,38,0.024335622787475586,0.00013571977615356445,38,,,
1.0,39,,,,,,
,39,,,39,0.8748153448104858,6.243586540222168e-06,0.75
,39,0.024619340896606445,0.00015178322792053223,39,,,
1.0,40,,,,,,
,40,0.023209810256958008,0.00018362700939178467,40,,,
1.0,41,,,,,,
,41,,,41,0.9036017656326294,5.707144737243652e-06,0.75
,41,0.01637411117553711,0.00019463151693344116,41,,,
1.0,42,,,,,,
,42,0.018691301345825195,0.00018996745347976685,42,,,
1.0,43,,,,,,
,43,,,43,0.9016929864883423,5.0067901611328125e-06,0.75
,43,0.01658010482788086,6.212294101715088e-05,43,,,
1.0,44,,,,,,
,44,0.016187310218811035,0.00018984079360961914,44,,,
1.0,45,,,,,,
,45,,,45,0.9198710322380066,4.0978193283081055e-06,0.75
,45,0.014372467994689941,0.0001138448715209961,45,,,
1.0,46,,,,,,
,46,0.014694571495056152,0.00010322779417037964,46,,,
1.0,47,,,,,,
,47,,,47,0.9364443421363831,4.194676876068115e-06,0.75
,47,0.012132525444030762,9.79006290435791e-05,47,,,
1.0,48,,,,,,
,48,0.013007760047912598,0.00011410564184188843,48,,,
1.0,49,,,,,,
,49,,,49,0.9413228034973145,3.851950168609619e-06,0.75
,49,0.011585116386413574,7.419288158416748e-05,49,,,
1.0,50,,,,,,
,50,0.01456761360168457,9.18656587600708e-05,50,,,
1.0,51,,,,,,
,51,,,51,0.9534679651260376,4.060566425323486e-06,0.75
,51,0.01243138313293457,7.821619510650635e-05,51,,,
1.0,52,,,,,,
,52,0.011428356170654297,0.00010991841554641724,52,,,
1.0,53,,,,,,
,53,,,53,0.9460043907165527,3.3676624298095703e-06,0.75
,53,0.011455059051513672,6.227940320968628e-05,53,,,
1.0,54,,,,,,
,54,0.011415362358093262,4.8808753490448e-05,54,,,
1.0,55,,,,,,
,55,,,55,0.9462733864784241,3.6209821701049805e-06,0.75
,55,0.008430719375610352,7.749348878860474e-05,55,,,
1.0,56,,,,,,
,56,0.008805394172668457,5.373358726501465e-05,56,,,
1.0,57,,,,,,
,57,,,57,0.9366843700408936,3.5390257835388184e-06,0.75
,57,0.007325172424316406,0.00010820478200912476,57,,,
1.0,58,,,,,,
,58,0.0094870924949646,8.200854063034058e-05,58,,,
1.0,59,,,,,,
,59,,,59,0.9245694875717163,3.4421682357788086e-06,0.75
,59,0.007145881652832031,0.00010938197374343872,59,,,
1.0,60,,,,,,
,60,0.007687687873840332,5.4970383644104004e-05,60,,,
1.0,61,,,,,,
,61,,,61,0.9217416048049927,3.419816493988037e-06,0.75
,61,0.00775456428527832,8.828192949295044e-05,61,,,
1.0,62,,,,,,
,62,0.01063835620880127,6.737560033798218e-05,62,,,
1.0,63,,,,,,
,63,,,63,1.0935046672821045,4.015862941741943e-06,0.75
,63,0.007225513458251953,9.732693433761597e-05,63,,,
1.0,64,,,,,,
,64,0.006995201110839844,0.00011499971151351929,64,,,
1.0,65,,,,,,
,65,,,65,1.0955716371536255,3.822147846221924e-06,0.75
,65,0.008862912654876709,0.0001206621527671814,65,,,
1.0,66,,,,,,
